caseid,weight,vote2020,biden_winner,pres_vote,birthyr,age,age9,gender,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputzip,inputstate,educ7,hispanic,ethnicity,votereg,wave
216250582,1.63710290851989,"I usually vote, but didn't this time",Probably the rightful winner,NA,2000,20,18 - 24,Male,Never married,Temporarily laid off,"$20,000 - $29,999",Democrat,Strong Democrat,Did not vote for President,32837,Florida,High school diploma or the equivalent (GED),No,Asian/Pacific Islander,Don't know,13
136408213,0.917087633993237,I did not vote in the election this November,Definitely the rightful winner,NA,1955,65,65 - 74,Male,Married,Retired,"$20,000 - $29,999",Independent,Independent,Did not vote for President,79072,Texas,Some college,No,White,Don't know,13
169603924,0.96575412735746,I am sure I voted,Definitely not the rightful winner,Donald Trump,1991,29,25 - 34,Male,Never married,Full-time,"$80,000 - $99,999",Republican,Strong Republican,Did not vote for President,14228,New York,Bachelor's degree,No,White,Yes,13
173191174,0.952010879862631,I am sure I voted,Probably not the rightful winner,Donald Trump,1988,32,25 - 34,Female,Married,Homemaker,"$40,000 - $49,999",Republican,Not very strong Republican,Did not vote for President,76207,Texas,Associate's degree,No,White,Yes,13
141422509,0.958480322816182,I am sure I voted,Definitely the rightful winner,Joe Biden,1961,59,55 - 64,Female,Divorced,Part-time,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,32817,Florida,Some college,No,Black or African American,Yes,13
159251083,0.995679177114876,I am sure I voted,Definitely the rightful winner,Joe Biden,1964,56,55 - 64,Male,Married,Full-time,"$100,000 - $119,999",Independent,Lean Democrat,Hillary Clinton,68131,Nebraska,Some college,No,White,Yes,13
41478334,0.853830665451112,I am sure I voted,Definitely the rightful winner,Joe Biden,1971,49,45 - 54,Female,Married,Homemaker,"$150,000 - $199,999",Democrat,Strong Democrat,Hillary Clinton,64064,Missouri,Master's degree,No,White,Yes,13
219133399,0.764701157922805,I did not vote in the election this November,Probably not the rightful winner,NA,1980,40,35 - 44,Female,Married,Unemployed,"$30,000 - $39,999",Not sure,Not sure,Did not vote for President,72501,Arkansas,High school diploma or the equivalent (GED),No,White,No,13
36521863,1.07445208331095,I am sure I voted,Definitely not the rightful winner,Donald Trump,1954,66,65 - 74,Male,Married,Retired,"$100,000 - $119,999",Republican,Strong Republican,Donald Trump,11234,New York,High school diploma or the equivalent (GED),No,White,Yes,13
164894782,1.07755766359051,I am sure I voted,Definitely not the rightful winner,Donald Trump,1984,36,35 - 44,Female,Married,Homemaker,"$50,000 - $59,999",Republican,Not very strong Republican,Did not vote for President,49271,Michigan,Bachelor's degree,No,White,Yes,13
151594171,0.9057909733295450,"I thought about voting this time, but didn't",Definitely not the rightful winner,NA,1962,58,55 - 64,Female,Divorced,Part-time,"$10,000 - $19,999",Not sure,Not sure,Did not vote for President,53214,Wisconsin,High school diploma or the equivalent (GED),No,White,No,13
163461070,1.05301904636555,I am sure I voted,Definitely the rightful winner,Joe Biden,1989,31,25 - 34,Female,Married,Full-time,"$250,000 - $349,999",Democrat,Strong Democrat,Hillary Clinton,20009,District of Columbia,Professional or doctorate degree,No,White,Yes,13
52085926,0.901991481538691,I am sure I voted,Definitely the rightful winner,Joe Biden,1946,74,65 - 74,Female,Widowed,Retired,"$80,000 - $99,999",Independent,Lean Democrat,Hillary Clinton,23666,Virginia,High school diploma or the equivalent (GED),No,White,Yes,13
168076714,0.990411168212098,I am sure I voted,Definitely the rightful winner,Joe Biden,1977,43,35 - 44,Male,Married,Full-time,"$120,000 - $149,999",Independent,Lean Democrat,Hillary Clinton,11710,New York,Professional or doctorate degree,No,White,Yes,13
142184293,0.781994109868948,I am sure I voted,Definitely the rightful winner,Joe Biden,1957,63,55 - 64,Female,Married,Homemaker,"$30,000 - $39,999",Democrat,Not very strong Democrat,Did not vote for President,6606,Connecticut,High school diploma or the equivalent (GED),No,White,No,13
212505097,1.22969723308439,I am sure I voted,Probably not the rightful winner,Donald Trump,1964,56,55 - 64,Female,Widowed,Permanently disabled,"$40,000 - $49,999",Other,Lean Republican,Donald Trump,85737,Arizona,Bachelor's degree,No,White,Yes,13
7354438,1.29801843425129,I am sure I voted,Definitely not the rightful winner,Donald Trump,1968,52,45 - 54,Male,Married,Unemployed,"$100,000 - $119,999",Republican,Strong Republican,Donald Trump,15112,Pennsylvania,Bachelor's degree,No,White,Yes,13
222832093,1.23766391514082,I am sure I voted,Probably not the rightful winner,Someone else,1957,63,55 - 64,Male,Domestic / civil partnership,Retired,"Less than $10,000",Democrat,Not very strong Democrat,Donald Trump,94025,California,Professional or doctorate degree,No,White,Yes,13
58563991,1.29801843425129,I am sure I voted,Definitely not the rightful winner,Donald Trump,1956,64,55 - 64,Male,Married,Full-time,"$120,000 - $149,999",Independent,Lean Republican,Donald Trump,77471,Texas,Bachelor's degree,No,White,Yes,13
153326461,1.45790533530833,I am sure I voted,Definitely not the rightful winner,Donald Trump,1961,59,55 - 64,Male,Domestic / civil partnership,Permanently disabled,"$20,000 - $29,999",Democrat,Not very strong Democrat,Donald Trump,40371,Kentucky,Some college,No,White,Yes,13
129661942,0.941946616546689,I am sure I voted,Probably not the rightful winner,Donald Trump,1939,81,75 - 84,Female,Married,Retired,"$80,000 - $99,999",Republican,Strong Republican,Donald Trump,48186,Michigan,High school diploma or the equivalent (GED),No,White,Yes,13
204678286,1.02272832552888,I did not vote in the election this November,Probably not the rightful winner,NA,2001,19,18 - 24,Female,Never married,Part-time,"$30,000 - $39,999",Independent,Independent,Did not vote for President,44035,Ohio,Some college,No,Multi-racial,Yes,13
219210457,0.995239326840527,I am sure I voted,Definitely the rightful winner,Joe Biden,1966,54,45 - 54,Male,Married,Full-time,"$150,000 - $199,999",Democrat,Strong Democrat,Hillary Clinton,91301,California,Bachelor's degree,No,White,Yes,13
173512237,0.48806466753506,I am sure I voted,Probably the rightful winner,Someone else,1947,73,65 - 74,Female,Divorced,Retired,"$30,000 - $39,999",Other,Independent,Jill Stein,95073,California,Bachelor's degree,No,White,Yes,13
204988954,0.96575412735746,I am sure I voted,Definitely the rightful winner,Joe Biden,1993,27,25 - 34,Male,Never married,Part-time,Prefer not to say,Independent,Lean Democrat,Did not vote for President,92867,California,Bachelor's degree,No,White,Yes,13
33319657,1.06355890762245,I am sure I voted,Definitely the rightful winner,Joe Biden,1958,62,55 - 64,Male,Married,Full-time,"$350,000 - $499,999",Democrat,Not very strong Democrat,Hillary Clinton,92065,California,Bachelor's degree,No,Black or African American,Yes,13
