caseid,weight,vote2020,biden_winner,pres_vote,birthyr,age,age9,gender,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputzip,inputstate,educ7,hispanic,ethnicity,votereg,wave
166857586,1.18602386761188,I am sure I voted,Definitely not the rightful winner,Donald Trump,1973,47,45 - 54,Male,Married,Full-time,"$70,000 - $79,999",Independent,Lean Republican,Donald Trump,17815,Pennsylvania,Master's degree,No,White,Yes,14
191290336,0.920238476050003,I did not vote in the election this November,Definitely the rightful winner,NA,1973,47,45 - 54,Female,Married,Full-time,"$20,000 - $29,999",Independent,Independent,Did not vote for President,76642,Texas,High school diploma or the equivalent (GED),No,Black or African American,No,14
221487799,0.904341135133384,I am sure I voted,Definitely the rightful winner,Joe Biden,1980,40,35 - 44,Female,Married,Full-time,"Less than $10,000",Democrat,Strong Democrat,Hillary Clinton,93905,California,High school diploma or the equivalent (GED),No,Hispanic/Latino/Chicano/a,Yes,14
421681978,0.312504567022826,I am sure I voted,Definitely the rightful winner,Joe Biden,1994,26,25 - 34,Male,Never married,Full-time,"$70,000 - $79,999",Democrat,Not very strong Democrat,Gary Johnson,91101,California,Bachelor's degree,No,White,Yes,14
311439934,1.51281651079576,I did not vote in the election this November,Definitely the rightful winner,NA,2001,19,18 - 24,Female,Never married,Student,Prefer not to say,Independent,Lean Democrat,Did not vote for President,78577,Texas,Did not graduate from high school,Yes,Hispanic/Latino/Chicano/a,No,14
211166227,0.824874666236966,I am sure I voted,Definitely the rightful winner,Joe Biden,1964,56,55 - 64,Female,Married,Part-time,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,43356,Ohio,High school diploma or the equivalent (GED),No,White,Yes,14
120311536,0.865942637964102,I am sure I voted,Definitely the rightful winner,Joe Biden,1944,76,75 - 84,Male,Divorced,Retired,"$120,000 - $149,999",Democrat,Strong Democrat,Hillary Clinton,95354,California,Some college,No,White,Yes,14
222921184,0.799358479272421,I am sure I voted,Definitely the rightful winner,Joe Biden,1991,29,25 - 34,Female,Never married,Unemployed,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,17603,Pennsylvania,High school diploma or the equivalent (GED),No,White,Yes,14
56994631,1.13860117856288,I am sure I voted,Definitely not the rightful winner,Donald Trump,1956,64,55 - 64,Female,Married,Retired,"$80,000 - $99,999",Independent,Lean Republican,Donald Trump,45157,Ohio,High school diploma or the equivalent (GED),No,White,Yes,14
205054828,1.35420267541791,I am sure I voted,Definitely the rightful winner,Donald Trump,1994,26,25 - 34,Male,Never married,Full-time,"$150,000 - $199,999",Republican,Not very strong Republican,Donald Trump,66062,Kansas,Professional or doctorate degree,No,White,Yes,14
214454374,1.01861494826463,I am sure I voted,Definitely not the rightful winner,Donald Trump,1965,55,55 - 64,Male,Never married,Retired,"$50,000 - $59,999",Republican,Not very strong Republican,Donald Trump,94536,California,High school diploma or the equivalent (GED),No,White,Yes,14
36602848,0.791064407475517,I am sure I voted,Definitely the rightful winner,Joe Biden,1929,91,85 or older,Female,Married,Retired,"$30,000 - $39,999",Democrat,Not very strong Democrat,Hillary Clinton,50158,Iowa,High school diploma or the equivalent (GED),No,White,Yes,14
144573148,0.776585137674684,I did not vote in the election this November,Probably the rightful winner,NA,1969,51,45 - 54,Female,Divorced,Full-time,"$30,000 - $39,999",Independent,Independent,Did not vote for President,16671,Pennsylvania,High school diploma or the equivalent (GED),No,White,No,14
357637300,0.77172561569316,"I thought about voting this time, but didn't",Definitely the rightful winner,NA,2002,18,18 - 24,Male,Never married,Student,"$10,000 - $19,999",Democrat,Strong Democrat,Did not vote for President,77095,Texas,Associate's degree,Yes,Multi-racial,No,14
133197892,1.00353914073868,I am sure I voted,Definitely not the rightful winner,Donald Trump,1942,78,75 - 84,Male,Married,Retired,"$40,000 - $49,999",Democrat,Not very strong Democrat,Donald Trump,80226,Colorado,High school diploma or the equivalent (GED),No,White,Yes,14
207204178,0.750389437699369,"I thought about voting this time, but didn't",Definitely not the rightful winner,NA,1999,21,18 - 24,Female,Never married,Student,"$70,000 - $79,999",Republican,Not very strong Republican,Did not vote for President,46526,Indiana,Associate's degree,No,White,No,14
211463938,1.02232038788505,I am sure I voted,Definitely the rightful winner,Joe Biden,1962,58,55 - 64,Male,Married,Retired,"$250,000 - $349,999",Independent,Lean Democrat,Hillary Clinton,33704,Florida,Associate's degree,No,White,Yes,14
